actor,awards,major,media_info,metacritic,score,title,years
Matthew Fox,"4 wins.

See more awards »",Not Major Role,108 min                 - Action|Crime|Drama                 -              26 January 2007(USA),45/100,6.7,Smokin' Aces,(2006)
Matthew Fox,No Awards,Major Role,Short                 -              2006(USA),No Metacritic,Not yet released,Connecting Flight,(2006)
Matthew Fox,No Awards,Major Role,12 min                 - Comedy|Fantasy|Short,No Metacritic,6.1,A Token for Your Thoughts,(2003)
Matthew Fox,"3 nominations.

See more awards »",Major Role,TV Series                                     -                             60 min                 - Drama|Horror,No Metacritic,7.5,Haunted,(2002– )
Matthew Fox,"Won 1 Golden Globe.
Another 6 wins & 31 nominations.

See more awards »",Major Role,TV Series                                     -                             60 min                 - Drama,No Metacritic,6.7,Party of Five,(1994–2000)
Matthew Fox,"2 nominations.

See more awards »",Major Role,TV Movie                         -                             90 min                 - Drama                 -              28 February 1999(USA),No Metacritic,6.2,Behind the Mask,(1999)
Matthew Fox,"Won 5 Primetime Emmys.
Another 11 wins & 64 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 60 min                 - Comedy,No Metacritic,7.1,MADtv,(1995–2009)
Matthew Fox,"Won 1 Primetime Emmy.
Another 59 wins & 134 nominations.

See more awards »",Not Major Role,TV Series                                     - Drama|Family|Romance,No Metacritic,7.0,CBS Schoolbreak Special,(1984–1996)
Matthew Fox,No Awards,Major Role,85 min                 - Comedy|Fantasy|Horror                 -              6 August 1993(USA),No Metacritic,5.2,My Boyfriend's Back,(1993)
Matthew Fox,No Awards,Major Role,TV Series                                     -                             60 min                 - Drama,No Metacritic,6.4,Freshman Dorm,(1992– )
Matthew Fox,"Nominated for 3 Primetime Emmys.
Another 2 wins & 3 nominations.

See more awards »",Not Major Role,TV Series                                     -                             30 min                 - Comedy|Drama,No Metacritic,7.3,Wings,(1990–1997)
Josh Holloway,No Awards,Not Major Role,TV Series,No Metacritic,Not yet released,Colony,(2015– )
Josh Holloway,No Awards,Major Role,TV Series                                     -                             42 min                 - Action|Sci-Fi,No Metacritic,7.0,Intelligence,(2014)
Josh Holloway,"1 win & 4 nominations.

See more awards »",Major Role,109 min                 - Action|Crime|Drama                 -              28 March 2014(USA),41/100,5.8,Sabotage,(2014)
Josh Holloway,"1 nomination.

See more awards »",Major Role,110 min                 - Music                 -              20 September 2013(USA),29/100,4.9,Battle of the Year,(2013)
Josh Holloway,"1 nomination.

See more awards »",Major Role,106 min                 - Drama|Thriller                 -              16 August 2013(USA),32/100,5.6,Paranoia,(2013)
Josh Holloway,"3 wins & 12 nominations.

See more awards »",Not Major Role,TV Series                                     -                             23 min                 - Family,No Metacritic,7.1,Yo Gabba Gabba!,(2007– )
Josh Holloway,"4 wins & 26 nominations.

See more awards »",Major Role,133 min                 - Action|Adventure|Thriller                 -              21 December 2011(USA),73/100,7.4,Mission: Impossible - Ghost Protocol,(2011)
Josh Holloway,"Nominated for 1 Primetime Emmy.
Another 1 win & 23 nominations.

See more awards »",Major Role,TV Movie                     -                                 87 min                 - Comedy|Drama                 -              10 October 2011(USA),No Metacritic,7.1,Five,(2011)
Josh Holloway,"Won 1 Primetime Emmy.
Another 14 wins & 51 nominations.

See more awards »",Not Major Role,TV Series                                 -                                 22 min                 - Comedy,No Metacritic,8.6,Community,(2009– )
Josh Holloway,"Won 1 Golden Globe.
Another 69 wins & 296 nominations.

See more awards »",Major Role,TV Series                                 -                                 44 min                 - Adventure|Drama|Fantasy,No Metacritic,8.5,Lost,(2004–2010)
Josh Holloway,No Awards,Major Role,94 min                 - Comedy|Drama|Romance                 -              16 September 2011(USA),No Metacritic,5.2,Stay Cool,(2009)
